"","index","Unnamed: 0","name","city","state"
"55",54,54,"Flesk Brewing Company","Lombard"," IL"
"56",55,55,"Pollyanna Brewing Company","Lemont"," IL"
"57",56,56,"BuckleDown Brewing","Lyons"," IL"
"58",57,57,"Destihl Brewery","Bloomington"," IL"
"59",58,58,"Summit Brewing Company","St. Paul"," MN"
"60",59,59,"Latitude 42 Brewing Company","Portage"," MI"
"61",60,60,"4 Hands Brewing Company","Saint Louis"," MO"
"62",61,61,"Surly Brewing Company","Brooklyn Center"," MN"
"63",62,62,"Against The Grain Brewery","Louisville"," KY"
"64",63,63,"Crazy Mountain Brewing Company","Edwards"," CO"
"65",64,64,"SlapShot Brewing Company","Chicago"," IL"
"66",65,65,"Mikerphone Brewing","Chicago"," IL"
"67",66,66,"Freetail Brewing Company","San Antonio"," TX"
"68",67,67,"3 Daughters Brewing","St Petersburg"," FL"
"69",68,68,"Red Shedman Farm Brewery and Hop...","Mt. Airy"," MD"
"70",69,69,"Appalachian Mountain Brewery","Boone"," NC"
"71",70,70,"Birdsong Brewing Company","Charlotte"," NC"
"72",71,71,"Union Craft Brewing","Baltimore"," MD"
"73",72,72,"Atwater Brewery","Detroit"," MI"
"74",73,73,"Ale Asylum","Madison"," WI"
"75",74,74,"Two Brothers Brewing Company","Warrenville"," IL"
"76",75,75,"Bent Paddle Brewing Company","Duluth"," MN"
"77",76,76,"Bell's Brewery","Kalamazoo"," MI"
"78",77,77,"Blue Owl Brewing","Austin"," TX"
"79",78,78,"Speakasy Ales & Lagers","San Francisco"," CA"
"80",79,79,"Black Tooth Brewing Company","Sheridan"," WY"
"81",80,80,"Hopworks Urban Brewery","Portland"," OR"
"82",81,81,"Epic Brewing","Denver"," CO"
"83",82,82,"New Belgium Brewing Company","Fort Collins"," CO"
"84",83,83,"Sierra Nevada Brewing Company","Chico"," CA"
"85",84,84,"Keweenaw Brewing Company","Houghton"," MI"
"86",85,85,"Brewery Terra Firma","Traverse City"," MI"
"87",86,86,"Grey Sail Brewing Company","Westerly"," RI"
"88",87,87,"Kirkwood Station Brewing Company","Kirkwood"," MO"
"89",88,88,"Goose Island Brewing Company","Chicago"," IL"
"90",89,89,"Broad Brook Brewing LLC","East Windsor"," CT"
"91",90,90,"The Lion Brewery","Wilkes-Barre"," PA"
"92",91,91,"Madtree Brewing Company","Cincinnati"," OH"
"93",92,92,"Jackie O's Pub & Brewery","Athens"," OH"
"94",93,93,"Rhinegeist Brewery","Cincinnati"," OH"
"95",94,94,"Warped Wing Brewing Company","Dayton"," OH"
"96",95,95,"Blackrocks Brewery","Marquette"," MA"
"97",96,96,"Catawba Valley Brewing Company","Morganton"," NC"
"98",97,97,"Tröegs Brewing Company","Hershey"," PA"
"99",98,98,"Mission Brewery","San Diego"," CA"
"100",99,99,"Christian Moerlein Brewing Company","Cincinnati"," OH"
"101",100,100,"West Sixth Brewing","Lexington"," KY"
"102",101,101,"Coastal Extreme Brewing Company","Newport"," RI"
"103",102,102,"King Street Brewing Company","Anchorage"," AK"
"104",103,103,"Beer Works Brewery","Lowell"," MA"
"105",104,104,"Lone Tree Brewing Company","Lone Tree"," CO"
"106",105,105,"Four String Brewing Company","Columbus"," OH"
"107",106,106,"Glabrous Brewing Company","Pineland"," ME"
"108",107,107,"Bonfire Brewing Company","Eagle"," CO"
"109",108,108,"Thomas Hooker Brewing Company","Bloomfield"," CT"
"110",109,109,"Woodstock Inn, Station & Brewery","North Woodstock"," NH"
"111",110,110,"Renegade Brewing Company","Denver"," CO"
"112",111,111,"Mother Earth Brew Company","Vista"," CA"
"113",112,112,"Black Market Brewing Company","Temecula"," CA"
"114",113,113,"Vault Brewing Company","Yardley"," PA"
"115",114,114,"Jailbreak Brewing Company","Laurel"," MD"
"116",115,115,"Smartmouth Brewing Company","Norfolk"," VA"
"117",116,116,"Base Camp Brewing Co.","Portland"," OR"
"118",117,117,"Alameda Brewing","Portland"," OR"
"119",118,118,"Southern Star Brewing Company","Conroe"," TX"
"120",119,119,"Steamworks Brewing Company","Durango"," CO"
"121",120,120,"Horny Goat Brew Pub","Milwaukee"," WI"
"122",121,121,"Cheboygan Brewing Company","Cheboygan"," MI"
"123",122,122,"Center of the Universe Brewing C...","Ashland"," VA"
"124",123,123,"Ipswich Ale Brewery","Ipswich"," MA"
"125",124,124,"Griffin Claw Brewing Company","Birmingham"," MI"
"126",125,125,"Karbach Brewing Company","Houston"," TX"
"127",126,126,"Uncle Billy's Brewery and Smokeh...","Austin"," TX"
"128",127,127,"Deep Ellum Brewing Company","Dallas"," TX"
"129",128,128,"Real Ale Brewing Company","Blanco"," TX"
"130",129,129,"Straub Brewery","St Mary's"," PA"
"131",130,130,"Shebeen Brewing Company","Wolcott"," CT"
"132",131,131,"Stevens Point Brewery","Stevens Point"," WI"
"133",132,132,"Weston Brewing Company","Weston"," MO"
"134",133,133,"Southern Prohibition Brewing Com...","Hattiesburg"," MS"
"135",134,134,"Minhas Craft Brewery","Monroe"," WI"
"136",135,135,"Pug Ryan's Brewery","Dillon"," CO"
"137",136,136,"Hops & Grains Brewing Company","Austin"," TX"
"138",137,137,"Sietsema Orchards and Cider Mill","Ada"," MI"
"139",138,138,"Summit Brewing Company","St Paul"," MN"
"140",139,139,"Core Brewing & Distilling Company","Springdale"," AR"
"141",140,140,"Independence Brewing Company","Austin"," TX"
"142",141,141,"Cigar City Brewing Company","Tampa"," FL"
"143",142,142,"Third Street Brewhouse","Cold Spring"," MN"
"144",143,143,"Narragansett Brewing Company","Providence"," RI"
"145",144,144,"Grimm Brothers Brewhouse","Loveland"," CO"
"146",145,145,"Cisco Brewers","Nantucket"," MA"
"147",146,146,"Angry Minnow","Hayward"," WI"
"148",147,147,"Platform Beer Company","Cleveland"," OH"
"149",148,148,"Odyssey Beerwerks","Arvada"," CO"
"150",149,149,"Lonerider Brewing Company","Raleigh"," NC"
"151",150,150,"Oakshire Brewing","Eugene"," OR"
"152",151,151,"Fort Pitt Brewing Company","Latrobe"," PA"
"153",152,152,"Tin Roof Brewing Company","Baton Rouge"," LA"
"154",153,153,"Three Creeks Brewing","Sisters"," OR"
"155",154,154,"2 Towns Ciderhouse","Corvallis"," OR"
"156",155,155,"Caldera Brewing Company","Ashland"," OR"
"157",156,156,"Greenbrier Valley Brewing Company","Lewisburg"," WV"
"158",157,157,"Phoenix Ale Brewery","Phoenix"," AZ"
"159",158,158,"Lumberyard Brewing Company","Flagstaff"," AZ"
"160",159,159,"Uinta Brewing Company","Salt Lake City"," UT"
"161",160,160,"Four Peaks Brewing Company","Tempe"," AZ"
"162",161,161,"Martin House Brewing Company","Fort Worth"," TX"
"163",162,162,"Right Brain Brewery","Traverse City"," MI"
"164",163,163,"Sly Fox Brewing Company","Phoenixville"," PA"
"165",164,164,"Round Guys Brewing","Lansdale"," PA"
"166",165,165,"Great Crescent Brewery","Aurora"," IN"
"167",166,166,"Oskar Blues Brewery","Longmont"," CO"
"168",167,167,"Boxcar Brewing Company","West Chester"," PA"
"169",168,168,"High Hops Brewery","Windsor"," CO"
"170",169,169,"Crooked Fence Brewing Company","Garden City"," ID"
"171",170,170,"Everybody's Brewing","White Salmon"," WA"
"172",171,171,"Anderson Valley Brewing Company","Boonville"," CA"
"173",172,172,"Fiddlehead Brewing Company","Shelburne"," VT"
"174",173,173,"Evil Twin Brewing","Brooklyn"," NY"
"175",174,174,"New Orleans Lager & Ale Brewing ...","New Orleans"," LA"
"176",175,175,"Spiteful Brewing Company","Chicago"," IL"
"177",176,176,"Rahr & Sons Brewing Company","Fort Worth"," TX"
"178",177,177,"18th Street Brewery","Gary"," IN"
"179",178,178,"Cambridge Brewing Company","Cambridge"," MA"
"180",179,179,"Carolina Brewery","Pittsboro"," NC"
"181",180,180,"Frog Level Brewing Company","Waynesville"," NC"
"182",181,181,"Wild Wolf Brewing Company","Nellysford"," VA"
"183",182,182,"COOP Ale Works","Oklahoma City"," OK"
"184",183,183,"Seventh Son Brewing Company","Columbus"," OH"
"185",184,184,"Oasis Texas Brewing Company","Austin"," TX"
"186",185,185,"Vander Mill Ciders","Spring Lake"," MI"
"187",186,186,"St. Julian Winery","Paw Paw"," MI"
"188",187,187,"Pedernales Brewing Company","Fredericksburg"," TX"
"189",188,188,"Mother's Brewing","Springfield"," MO"
"190",189,189,"Modern Monks Brewery","Lincoln"," NE"
"191",190,190,"Two Beers Brewing Company","Seattle"," WA"
"192",191,191,"Snake River Brewing Company","Jackson"," WY"
"193",192,192,"Capital Brewery","Middleton"," WI"
"194",193,193,"Anthem Brewing Company","Oklahoma City"," OK"
"195",194,194,"Goodlife Brewing Co.","Bend"," OR"
"196",195,195,"Breakside Brewery","Portland"," OR"
"197",196,196,"Goose Island Brewery Company","Chicago"," IL"
"198",197,197,"Burnside Brewing Co.","Portland"," OR"
"199",198,198,"Hop Valley Brewing Company","Springfield"," OR"
"200",199,199,"Worthy Brewing Company","Bend"," OR"
"201",200,200,"Occidental Brewing Company","Portland"," OR"
"202",201,201,"Fearless Brewing Company","Estacada"," OR"
"203",202,202,"Upland Brewing Company","Bloomington"," IN"
"204",203,203,"Mehana Brewing Co.","Hilo"," HI"
"205",204,204,"Hawai'i Nui Brewing Co.","Hilo"," HI"
"206",205,205,"People's Brewing Company","Lafayette"," IN"
"207",206,206,"Fort George Brewery","Astoria"," OR"
"208",207,207,"Branchline Brewing Company","San Antonio"," TX"
"209",208,208,"Kalona Brewing Company","Kalona"," IA"
"210",209,209,"Modern Times Beer","San Diego"," CA"
"211",210,210,"Temperance Beer Company","Evanston"," IL"
"212",211,211,"Wisconsin Brewing Company","Verona"," WI"
"213",212,212,"Crow Peak Brewing Company","Spearfish"," SD"
"214",213,213,"Grapevine Craft Brewery","Farmers Branch"," TX"
"215",214,214,"Buffalo Bayou Brewing Company","Houston"," TX"
"216",215,215,"Texian Brewing Co.","Richmond"," TX"
"217",216,216,"Orpheus Brewing","Atlanta"," GA"
"218",217,217,"Forgotten Boardwalk","Cherry Hill"," NJ"
"219",218,218,"Laughing Dog Brewing Company","Ponderay"," ID"
"220",219,219,"Bozeman Brewing Company","Bozeman"," MT"
"221",220,220,"Big Choice Brewing","Broomfield"," CO"
"222",221,221,"Big Storm Brewing Company","Odessa"," FL"
"223",222,222,"Carton Brewing Company","Atlantic Highlands"," NJ"
"224",223,223,"Midnight Sun Brewing Company","Anchorage"," AK"
"225",224,224,"Fat Head's Brewery","Middleburg Heights"," OH"
"226",225,225,"Refuge Brewery","Temecula"," CA"
"227",226,226,"Chatham Brewing","Chatham"," NY"
"228",227,227,"DC Brau Brewing Company","Washington"," DC"
"229",228,228,"Geneva Lake Brewing Company","Lake Geneva"," WI"
"230",229,229,"Rochester Mills Brewing Company","Rochester"," MI"
"231",230,230,"Cape Ann Brewing Company","Gloucester"," MA"
"232",231,231,"Borderlands Brewing Company","Tucson"," AZ"
"233",232,232,"College Street Brewhouse and Pub","Lake Havasu City"," AZ"
"234",233,233,"Joseph James Brewing Company","Henderson"," NV"
"235",234,234,"Harpoon Brewery","Boston"," MA"
"236",235,235,"Back East Brewing Company","Bloomfield"," CT"
"237",236,236,"Champion Brewing Company","Charlottesville"," VA"
"238",237,237,"Devil's Backbone Brewing Company","Lexington"," VA"
"239",238,238,"Newburgh Brewing Company","Newburgh"," NY"
"240",239,239,"Wiseacre Brewing Company","Memphis"," TN"
"241",240,240,"Golden Road Brewing","Los Angeles"," CA"
"242",241,241,"New Republic Brewing Company","College Station"," TX"
"243",242,242,"Infamous Brewing Company","Austin"," TX"
"244",243,243,"Two Henrys Brewing Company","Plant City"," FL"
"245",244,244,"Lift Bridge Brewing Company","Stillwater"," MN"
"246",245,245,"Lucky Town Brewing Company","Jackson"," MS"
"247",246,246,"Quest Brewing Company","Greenville"," SC"
"248",247,247,"Creature Comforts","Athens"," GA"
"249",248,248,"Half Full Brewery","Stamford"," CT"
"250",249,249,"Southampton Publick House","Southampton"," NY"
"251",250,250,"Chapman's Brewing","Angola"," IN"
"252",251,251,"Barrio Brewing Company","Tucson"," AZ"
"253",252,252,"Santa Cruz Mountain Brewing","Santa Cruz"," CA"
"254",253,253,"Frankenmuth Brewery","Frankenmuth"," MI"
"255",254,254,"Meckley's Cidery","Somerset Center"," MI"
"256",255,255,"Stillwater Artisanal Ales","Baltimore"," MD"
"257",256,256,"Finch's Beer Company","Chicago"," IL"
"258",257,257,"South Austin Brewery","South Austin"," TX"
"259",258,258,"Bauhaus Brew Labs","Minneapolis"," MN"
"260",259,259,"Ozark Beer Company","Rogers"," AR"
"261",260,260,"Mountain Town Brewing Company ","Mount Pleasant"," MI"
"262",261,261,"Otter Creek Brewing","Waterbury"," VT"
"263",262,262,"The Brewer's Art","Baltimore"," MD"
"264",263,263,"Denver Beer Company","Denver"," CO"
"265",264,264,"Ska Brewing Company","Durango"," CO"
"266",265,265,"Tractor Brewing Company","Albuquerque"," NM"
"267",266,266,"Peak Organic Brewing Company","Portland"," ME"
"268",267,267,"Cape Cod Beer","Hyannis"," MA"
"269",268,268,"Long Trail Brewing Company","Bridgewater Corners"," VT"
"270",269,269,"Great Raft Brewing Company","Shreveport"," LA"
"271",270,270,"Alaskan Brewing Company","Juneau"," AK"
"272",271,271,"Notch Brewing Company","Ipswich"," MA"
"273",272,272,"The Alchemist","Waterbury"," VT"
"274",273,273,"Three Notch'd Brewing Company","Charlottesville"," VA"
"275",274,274,"Portside Brewery","Cleveland"," OH"
"276",275,275,"Otter Creek Brewing","Middlebury"," VT"
"277",276,276,"Montauk Brewing Company","Montauk"," NY"
"278",277,277,"Indeed Brewing Company","Minneapolis"," MN"
"279",278,278,"Berkshire Brewing Company","South Deerfield"," MA"
"280",279,279,"Foolproof Brewing Company","Pawtucket"," RI"
"281",280,280,"Headlands Brewing Company","Mill Valley"," CA"
"282",281,281,"Bolero Snort Brewery","Ridgefield Park"," NJ"
"283",282,282,"Thunderhead Brewing Company","Kearney"," NE"
"284",283,283,"Defiance Brewing Company","Hays"," KS"
"285",284,284,"Milwaukee Brewing Company","Milwaukee"," WI"
"286",285,285,"Catawba Island Brewing","Port Clinton"," OH"
"287",286,286,"Back Forty Beer Company","Gadsden"," AL"
"288",287,287,"Four Corners Brewing Company","Dallas"," TX"
"289",288,288,"Saint Archer Brewery","San Diego"," CA"
"290",289,289,"Rogue Ales","Newport"," OR"
"291",290,290,"Hale's Ales","Seattle"," WA"
"292",291,291,"Tommyknocker Brewery","Idaho Springs"," CO"
"293",292,292,"Baxter Brewing Company","Lewiston"," ME"
"294",293,293,"Northampton Brewery","Northamtpon"," MA"
"295",294,294,"Black Shirt Brewing Company","Denver"," CO"
"296",295,295,"Wachusett Brewing Company","Westminster"," MA"
"297",296,296,"Widmer Brothers Brewing Company","Portland"," OR"
"298",297,297,"Hop Farm Brewing Company","Pittsburgh"," PA"
"299",298,298,"Liquid Hero Brewery","York"," PA"
"300",299,299,"Matt Brewing Company","Utica"," NY"
"301",300,300,"Boston Beer Company","Boston"," MA"
"302",301,301,"Old Forge Brewing Company","Danville"," PA"
"303",302,302,"Utah Brewers Cooperative","Salt Lake City"," UT"
"304",303,303,"Magic Hat Brewing Company","South Burlington"," VT"
"305",304,304,"Blue Hills Brewery","Canton"," MA"
"306",305,305,"Night Shift Brewing","Everett"," MA"
"307",306,306,"Beach Brewing Company","Virginia Beach"," VA"
"308",307,307,"Payette Brewing Company","Garden City"," ID"
"309",308,308,"Brew Bus Brewing","Tampa"," FL"
"310",309,309,"Sockeye Brewing Company","Boise"," ID"
"311",310,310,"Pine Street Brewery","San Francisco"," CA"
"312",311,311,"Dirty Bucket Brewing Company","Woodinville"," WA"
"313",312,312,"Jackalope Brewing Company","Nashville"," TN"
"314",313,313,"Slanted Rock Brewing Company","Meridian"," ID"
"315",314,314,"Piney River Brewing Company","Bucryus"," MO"
"316",315,315,"Cutters Brewing Company","Avon"," IN"
"317",316,316,"Iron Hill Brewery & Restaurant","Wilmington"," DE"
"318",317,317,"Marshall Wharf Brewing Company","Belfast"," ME"
"319",318,318,"Banner Beer Company","Williamsburg"," MA"
"320",319,319,"Dick's Brewing Company","Centralia"," WA"
"321",320,320,"Claremont Craft Ales","Claremont"," CA"
"322",321,321,"Rivertown Brewing Company","Lockland"," OH"
"323",322,322,"Voodoo Brewery","Meadville"," PA"
"324",323,323,"D.L. Geary Brewing Company","Portland"," ME"
"325",324,324,"Pisgah Brewing Company","Black Mountain"," NC"
"326",325,325,"Neshaminy Creek Brewing Company","Croydon"," PA"
"327",326,326,"Morgan Street Brewery","Saint Louis"," MO"
"328",327,327,"Half Acre Beer Company","Chicago"," IL"
"329",328,328,"The Just Beer Project","Burlington"," VT"
"330",329,329,"The Bronx Brewery","Bronx"," NY"
"331",330,330,"Dead Armadillo Craft Brewing","Tulsa"," OK"
"332",331,331,"Catawba Brewing Company","Morganton"," NC"
"333",332,332,"La Cumbre Brewing Company","Albuquerque"," NM"
"334",333,333,"David's Ale Works","Diamond Springs"," CA"
"335",334,334,"The Traveler Beer Company","Burlington"," VT"
"336",335,335,"Fargo Brewing Company","Fargo"," ND"
"337",336,336,"Big Sky Brewing Company","Missoula"," MT"
"338",337,337,"Nebraska Brewing Company","Papillion"," NE"
"339",338,338,"Uncle John's Fruit House Winery","St. John's"," MI"
"340",339,339,"Wormtown Brewery","Worcester"," MA"
"341",340,340,"Due South Brewing Company","Boynton Beach"," FL"
"342",341,341,"Palisade Brewing Company","Palisade"," CO"
"343",342,342,"KelSo Beer Company","Brooklyn"," NY"
"344",343,343,"Hardywood Park Craft Brewery","Richmond"," VA"
"345",344,344,"Wolf Hills Brewing Company","Abingdon"," VA"
"346",345,345,"Lavery Brewing Company","Erie"," PA"
"347",346,346,"Manzanita Brewing Company","Santee"," CA"
"348",347,347,"Fullsteam Brewery","Durham"," NC"
"349",348,348,"Four Horsemen Brewing Company","South Bend"," IN"
"350",349,349,"Hinterland Brewery","Green Bay"," WI"
"351",350,350,"Central Coast Brewing Company","San Luis Obispo"," CA"
"352",351,351,"Westfield River Brewing Company","Westfield"," MA"
"353",352,352,"Elevator Brewing Company","Columbus"," OH"
"354",353,353,"Aslan Brewing Company","Bellingham"," WA"
"355",354,354,"Kulshan Brewery","Bellingham"," WA"
"356",355,355,"Pikes Peak Brewing Company","Monument"," CO"
"357",356,356,"Manayunk Brewing Company","Philadelphia"," PA"
"358",357,357,"Buckeye Brewing","Cleveland"," OH"
"359",358,358,"Daredevil Brewing Company","Shelbyville"," IN"
"360",359,359,"NoDa Brewing Company","Charlotte"," NC"
"361",360,360,"Aviator Brewing Company","Fuquay-Varina"," NC"
"362",361,361,"Wild Onion Brewing Company","Lake Barrington"," IL"
"363",362,362,"Hilliard's Beer","Seattle"," WA"
"364",363,363,"Mikkeller","Pottstown"," PA"
"365",364,364,"Bohemian Brewery","Midvale"," UT"
"366",365,365,"Great River Brewery","Davenport"," IA"
"367",366,366,"Mustang Brewing Company","Mustang"," OK"
"368",367,367,"Airways Brewing Company","Kent"," WA"
"369",368,368,"21st Amendment Brewery","San Francisco"," CA"
"370",369,369,"Eddyline Brewery & Restaurant","Buena Vista"," CO"
"371",370,370,"Pizza Port Brewing Company","Carlsbad"," CA"
"372",371,371,"Sly Fox Brewing Company","Pottstown"," PA"
"373",372,372,"Spring House Brewing Company","Conestoga"," PA"
"374",373,373,"7venth Sun","Dunedin"," FL"
"375",374,374,"Astoria Brewing Company","Astoria"," OR"
"376",375,375,"Maui Brewing Company","Lahaina"," HI"
"377",376,376,"RoughTail Brewing Company","Midwest City"," OK"
"378",377,377,"Lucette Brewing Company","Menominee"," WI"
"379",378,378,"Bold City Brewery","Jacksonville"," FL"
"380",379,379,"Grey Sail Brewing of Rhode Island","Westerly"," RI"
"381",380,380,"Blue Blood Brewing Company","Lincoln"," NE"
"382",381,381,"Swashbuckler Brewing Company","Manheim"," PA"
"383",382,382,"Blue Mountain Brewery","Afton"," VA"
"384",383,383,"Starr Hill Brewery","Crozet"," VA"
"385",384,384,"Westbrook Brewing Company","Mt. Pleasant"," SC"
"386",385,385,"Shipyard Brewing Company","Portland"," ME"
"387",386,386,"Revolution Brewing","Paonia"," CO"
"388",387,387,"Natian Brewery","Portland"," OR"
"389",388,388,"Alltech's Lexington Brewing Company","Lexington"," KY"
"390",389,389,"Oskar Blues Brewery (North Carol...","Brevard"," NC"
"391",390,390,"Orlison Brewing Company","Airway Heights"," WA"
"392",391,391,"Breckenridge Brewery","Denver"," CO"
"393",392,392,"Santa Fe Brewing Company","Santa Fe"," NM"
"394",393,393,"Miami Brewing Company","Miami"," FL"
"395",394,394,"Schilling & Company","Seattle"," WA"
"396",395,395,"Hops & Grain Brewery","Austin"," TX"
"397",396,396,"White Flame Brewing Company","Hudsonville"," MI"
"398",397,397,"Ruhstaller Beer Company","Sacramento"," CA"
"399",398,398,"Saugatuck Brewing Company","Douglas"," MI"
"400",399,399,"Moab Brewery","Moab"," UT"
"401",400,400,"Macon Beer Company","Macon"," GA"
"402",401,401,"Amnesia Brewing Company","Washougal"," WA"
"403",402,402,"Wolverine State Brewing Company","Ann Arbor"," MI"
"404",403,403,"Red Tank Cider Company","Bend"," OR"
"405",404,404,"Cascadia Ciderworks United","Portland"," OR"
"406",405,405,"Fate Brewing Company","Boulder"," CO"
"407",406,406,"Lazy Monk Brewing","Eau Claire"," WI"
"408",407,407,"Bitter Root Brewing","Hamilton"," MT"
"409",408,408,"10 Barrel Brewing Company","Bend"," OR"
"410",409,409,"Tamarack Brewing Company","Lakeside"," MT"
"411",410,410,"New England Brewing Company","Woodbridge"," CT"
"412",411,411,"Seattle Cider Company","Seattle"," WA"
"413",412,412,"Straight to Ale","Huntsville"," AL"
"414",413,413,"Austin Beerworks","Austin"," TX"
"415",414,414,"Blue Mountain Brewery","Arrington"," VA"
"416",415,415,"Coastal Empire Beer Company","Savannah"," GA"
"417",416,416,"Jack's Hard Cider (Hauser Estate...","Biglerville"," PA"
"418",417,417,"Boulder Beer Company","Boulder"," CO"
"419",418,418,"Coalition Brewing Company","Portland"," OR"
"420",419,419,"Sanitas Brewing Company","Boulder"," CO"
"421",420,420,"Gore Range Brewery","Edwards"," CO"
"422",421,421,"Redstone Meadery","Boulder"," CO"
"423",422,422,"Blue Dog Mead","Eugene"," OR"
"424",423,423,"Hess Brewing Company","San Diego"," CA"
"425",424,424,"Wynkoop Brewing Company","Denver"," CO"
"426",425,425,"Ciderboys","Stevens Point"," WI"
"427",426,426,"Armadillo Ale Works","Denton"," TX"
"428",427,427,"Roanoke Railhouse Brewery","Roanoke"," VA"
"429",428,428,"Schlafly Brewing Company","Saint Louis"," MO"
"430",429,429,"Asher Brewing Company","Boulder"," CO"
"431",430,430,"Lost Rhino Brewing Company","Ashburn"," VA"
"432",431,431,"North Country Brewing Company","Slippery Rock"," PA"
"433",432,432,"Seabright Brewery","Santa Cruz"," CA"
"434",433,433,"French Broad Brewery","Asheville"," NC"
"435",434,434,"Angry Orchard Cider Company","Cincinnati"," OH"
"436",435,435,"Two Roads Brewing Company","Stratford"," CT"
"437",436,436,"Southern Oregon Brewing Company","Medford"," OR"
"438",437,437,"Brooklyn Brewery","Brooklyn"," NY"
"439",438,438,"The Right Brain Brewery","Traverse City"," MI"
"440",439,439,"Kona Brewing Company","Kona"," HI"
"441",440,440,"MillKing It Productions","Royal Oak"," MI"
"442",441,441,"Pateros Creek Brewing Company","Fort Collins"," CO"
"443",442,442,"O'Fallon Brewery","O'Fallon"," MO"
"444",443,443,"Marble Brewery","Albuquerque"," NM"
"445",444,444,"Big Wood Brewery","Vadnais Heights"," MN"
"446",445,445,"Howard Brewing Company","Lenoir"," NC"
"447",446,446,"Downeast Cider House","Leominster"," MA"
"448",447,447,"Swamp Head Brewery","Gainesville"," FL"
"449",448,448,"Mavericks Beer Company","Half Moon Bay"," CA"
"450",449,449,"TailGate Beer","San Diego"," CA"
"451",450,450,"Northwest Brewing Company","Pacific"," WA"
"452",451,451,"Dad & Dude's Breweria","Aurora"," CO"
"453",452,452,"Centennial Beer Company","Edwards"," CO"
"454",453,453,"Denali Brewing Company","Talkeetna"," AK"
"455",454,454,"Deschutes Brewery","Bend"," OR"
"456",455,455,"Sunken City Brewing Company","Hardy"," VA"
"457",456,456,"Lucette Brewing Company","Menominie"," WI"
"458",457,457,"The Black Tooth Brewing Company","Sheridan"," WY"
"459",458,458,"Kenai River Brewing Company","Soldotna"," AK"
"460",459,459,"River North Brewery","Denver"," CO"
